schedule_id,flight_date,origin_airport,dest_airport,dept_time,arr_time,flight_id ,delay_time,flight_status_id 
SC000074340,1/18/2018,MSY,HOU,1555,1709,262,-6,1
SC000074361,1/18/2018,MSY,PHX,1906,2124,1989,44,3
SC000074382,1/18/2018,OAK,BUR,1521,1623,1820,-2,1
SC000074403,1/18/2018,OAK,LAS,2030,2148,651,-12,1
SC000074424,1/18/2018,OAK,LGB,1529,1649,168,-6,1
SC000074445,1/18/2018,OAK,PHX,747,1053,1339,28,3
SC000074466,1/18/2018,OAK,SEA,908,1056,1164,-19,1
SC000074487,1/18/2018,OKC,DEN,1707,1741,6323,16,3
SC000074508,1/18/2018,OMA,MDW,849,1015,519,-5,1
SC000074529,1/18/2018,ONT,OAK,1044,1149,1748,-6,1
SC000074550,1/18/2018,ONT,SMF,2129,2240,6299,-10,1
SC000074571,1/18/2018,PDX,DEN,608,914,442,-16,1
SC000074592,1/18/2018,PDX,SAN,2028,2253,5854,43,3
SC000074613,1/18/2018,PHL,FLL,700,953,1576,-7,1
SC000074634,1/18/2018,PHX,ABQ,1436,1541,5926,1,3
SC000074655,1/18/2018,PHX,CLE,1038,1647,1633,22,3
SC000074676,1/18/2018,PHX,ELP,1718,1825,1739,35,3
SC000074697,1/18/2018,PHX,LAS,1906,1906,2146,1,3
SC000074718,1/18/2018,PHX,MDW,2117,142,6314,42,3
SC000074739,1/18/2018,PHX,ONT,1259,1306,1390,-4,1
SC000074760,1/18/2018,PHX,SAN,845,1109,6340,,4
SC000074781,1/18/2018,PHX,SLC,641,814,2081,-6,1
SC000074802,1/18/2018,PIT,BWI,613,731,531,1,3
SC000074823,1/18/2018,PIT,TPA,1900,2122,1933,2,3
SC000074844,1/18/2018,PWM,BWI,527,705,546,-15,1
SC000074865,1/18/2018,RNO,LAS,525,628,1743,-22,1
SC000074886,1/18/2018,RSW,ATL,1250,1431,170,-14,1
SC000074907,1/18/2018,RSW,STL,1748,1920,6225,0,2
SC000074928,1/18/2018,SAN,LAS,1334,1437,241,-8,1
SC000074949,1/18/2018,SAN,OAK,2138,2259,847,14,3
SC000074970,1/18/2018,SAN,RNO,1841,2007,5737,-13,1
SC000074991,1/18/2018,SAN,SJC,2029,2149,1600,-6,1
SC000075012,1/18/2018,SAT,ATL,1743,2048,1136,-12,1
SC000075033,1/18/2018,SAT,HOU,831,915,1026,-15,1
SC000075054,1/18/2018,SAT,TPA,740,1052,777,37,3
SC000075075,1/18/2018,SEA,MDW,609,1153,155,-22,1
SC000075096,1/18/2018,SFO,BUR,1801,1929,449,119,3
SC000075117,1/18/2018,SFO,LAX,1626,1751,1172,-9,1
SC000075138,1/18/2018,SFO,SAN,1815,2003,6145,63,3
SC000075159,1/18/2018,SJC,DEN,1930,2237,1154,-13,1
SC000075180,1/18/2018,SJC,LAX,936,1042,6438,-13,1
SC000075201,1/18/2018,SJC,SAN,1246,1359,1575,4,3
SC000075222,1/18/2018,SJC,SNA,1135,1241,6164,-14,1
SC000075243,1/18/2018,SLC,DEN,1438,1547,5584,12,3
SC000075264,1/18/2018,SLC,SJC,1042,1144,146,-6,1
SC000075285,1/18/2018,SMF,LAS,1506,1624,495,-1,1
SC000075306,1/18/2018,SMF,ONT,1425,1537,6350,-8,1
SC000075327,1/18/2018,SMF,SAN,1100,1223,1795,-7,1
SC000075348,1/18/2018,SNA,LAS,1934,2030,833,-10,1
SC000075369,1/18/2018,SNA,SFO,742,907,1468,-8,1
SC000075390,1/18/2018,STL,ATL,1921,2146,1712,16,3
SC000075411,1/18/2018,STL,DCA,1540,1825,1464,-5,1
SC000075432,1/18/2018,STL,LAS,854,1002,537,-33,1
SC000075453,1/18/2018,STL,MDW,1910,2006,1482,1,3
SC000075474,1/18/2018,STL,PIT,1546,1821,1933,1,3
SC000075495,1/18/2018,TPA,BHM,1024,1053,5537,-7,1
SC000075516,1/18/2018,TPA,DEN,1855,2038,539,-22,1
SC000075537,1/18/2018,TPA,MDW,1130,1308,656,-7,1
SC000075558,1/18/2018,TPA,SJU,1425,1813,1814,3,3
SC000075579,1/18/2018,TUS,LAS,1916,1924,2057,-6,1
SC000075600,1/19/2018,ABQ,LAS,1019,1049,1027,-11,1
SC000075621,1/19/2018,ALB,DEN,1840,2041,6072,-29,1
SC000075642,1/19/2018,ATL,BWI,558,738,1738,-7,1
SC000075663,1/19/2018,ATL,DTW,914,1116,311,41,3
SC000075684,1/19/2018,ATL,JAX,1124,1222,185,-8,1
